TU_id	start	stop	tss	strand	rho_dependent	sigma
TU8J2_1112	404458	406007	406007	-	True	RpoD_mono
TU8J2_1243	2410017	2410589	2410589	-	True	RpoD_mono
TU8J2_798	1922017	1922767	1922767	+	True	RpoD_mono
TU8J2_569	2984312	2987547	2987547	-	True	RpoD_mono
TU8J2_1472	2409729	2409977	2409977	+	True	RpoD_mono
TU8J2_1348	711456	711875	711875	-	True	RpoD_mono
TU8J2_9	3385724	3387753	3387753	+	True	RpoD_mono
TU8J2_348	3847348	3847821	3847821	+	True	RpoD_mono
TU8J2_1577	3438853	3440952	3440952	-	True	RpoD_mono
TU8J2_257	4073081	4084383	4084383	-	True	RpoD_mono
TU8J2_677	2528404	2529662	2529662	-	True	RpoD_mono
TU8J2_452	3418474	3419421	3419421	+	True	RpoD_mono
TU8J2_1099	444461	446129	446129	+	True	RpoD_mono
TU8J2_1223	1100980	1102521	1102521	+	True	RpoD_mono
TU8J2_782	2027509	2027802	2027802	+	True	RpoD_mono
TU8J2_554	3022068	3023657	3023657	-	True	RpoD_mono
TU8J2_1458	2158439	2158684	2158684	+	True	RpoD_mono
TU8J2_1333	552052	552501	552501	-	True	RpoD_mono
TU8J2_885	1359454	1360272	1360272	+	True	RpoD_mono
TU8J2_333	3893441	3893986	3893986	+	True	RpoD_mono
TU8J2_1562	3664241	3665383	3665383	-	True	RpoD_mono
TU8J2_242	4109185	4109616	4109616	-	True	RpoD_mono
TU8J2_662	2595669	2596412	2596412	+	True	RpoD_mono
TU8J2_438	3542179	3542691	3542691	-	True	RpoD_mono
TU8J2_1084	488830	490554	490554	+	True	RpoD_mono
TU8J2_1209	23868	25151	25151	-	True	RpoD_mono
TU8J2_768	2090574	2092304	2092304	+	True	RpoD_mono
TU8J2_54	2600214	2603867	2603867	-	True	RpoD_mono
TU8J2_996	885844	889686	889686	-	True	RpoD_mono
TU8J2_1319	293499	294575	294575	+	True	RpoD_mono
TU8J2_870	1435628	1437727	1437727	-	True	RpoD_mono
TU8J2_1443	2060009	2060233	2060233	+	True	RpoD_mono
TU8J2_1548	3456282	3456515	3456515	-	True	RpoD_mono
TU8J2_228	4141711	4145506	4145506	-	True	RpoD_mono
TU8J2_318	3925797	3926399	3926399	-	True	RpoD_mono
TU8J2_423	3659119	3663097	3663097	-	True	RpoD_mono
TU8J2_107	2338582	2338770	2338770	+	True	RpoD_mono
TU8J2_648	2652993	2701754	2701754	+	True	RpoD_mono
TU8J2_753	2290078	2290272	2290272	-	True	RpoD_mono
TU8J2_525	3108614	3109360	3109360	+	True	RpoD_mono
TU8J2_1195	55866	56159	56159	+	True	RpoD_mono
TU8J2_1304	2952224	2953349	2953349	-	False	RpoD_mono
TU8J2_856	1487038	1488868	1488868	+	True	RpoD_mono
TU8J2_981	920474	922503	922503	+	True	RpoD_mono
TU8J2_1533	3309960	3310286	3310286	-	True	RpoD_mono
TU8J2_213	4179163	4180377	4180377	-	True	RpoD_mono
TU8J2_1429	1906272	1906706	1906706	-	True	RpoD_mono
TU8J2_409	3708172	3708699	3708699	-	True	RpoD_mono
TU8J2_1055	664319	664669	664669	+	True	RpoD_mono
TU8J2_303	3962003	3963928	3963928	-	True	RpoD_mono
TU8J2_739	2310995	2311885	2311885	-	True	RpoD_mono
TU8J2_510	3159258	3161894	3161894	-	True	RpoD_mono
TU8J2_633	2788920	2791440	2791440	-	True	RpoD_mono
TU8J2_1290	1071402	1071488	1071488	+	False	RpoD_mono
TU8J2_841	1570574	1571800	1571800	-	True	RpoD_mono
TU8J2_1180	158515	159072	159072	-	False	RpoD_mono
TU8J2_1519	3136768	3136944	3136944	+	True	RpoD_mono
TU8J2_199	4215255	4215389	4215389	-	True	RpoD_mono
TU8J2_967	946696	953294	953294	-	True	RpoD_mono
TU8J2_395	3743267	3743659	3743659	-	True	RpoD_mono
TU8J2_1040	726840	728318	728318	-	True	RpoD_mono
TU8J2_1414	1525386	1526159	1526159	+	True	RpoD_mono
TU8J2_724	2386195	2387673	2387673	-	True	RpoD_mono
TU8J2_497	3219837	3222083	3222083	-	True	RpoD_mono
TU8J2_2986	1761707	1763204	1763204	+	True	RpoD_mono
TU8J2_1276	1606560	1607354	1607354	+	True	RpoD_mono
TU8J2_827	1673620	1674137	1674137	+	True	RpoD_mono
TU8J2_619	2855973	2857626	2857626	-	True	RpoD_mono
TU8J2_721	2402067	2403350	2403350	-	True	RpoD_mono
TU8J2_1378	1159211	1159690	1159690	-	True	RpoD_mono
TU8J2_1166	228549	229352	229352	-	True	RpoD_mono
TU8J2_1273	1233614	1234908	1234908	-	True	RpoD_mono
TU8J2_184	1422172	1424440	1424440	-	False	RpoD_mono
TU8J2_952	1011792	1013258	1013258	-	True	RpoD_mono
TU8J2_1501	2768042	2768674	2768674	-	True	RpoD_mono
TU8J2_1026	816113	817243	817243	+	True	RpoD_mono
TU8J2_140	2270407	2271982	2271982	-	True	RpoD_mono
TU8J2_378	3772325	3773350	3773350	-	True	RpoD_mono
TU8J2_482	3253529	3255838	3255838	-	True	RpoD_mono
TU8J2_2962	245190	246131	246131	+	True	RpoD_mono
TU8J2_707	2449841	2450290	2450290	-	True	RpoD_mono
TU8J2_812	1865512	1865787	1865787	-	True	RpoD_mono
TU8J2_604	2898931	2899752	2899752	+	True	RpoD_mono
TU8J2_1259	3602588	3604567	3604567	-	True	RpoD_mono
TU8J2_1363	995624	996532	996532	-	True	RpoD_mono
TU8J2_1151	288653	290698	290698	-	True	RpoD_mono
TU8J2_1488	2636096	2637139	2637139	-	True	RpoD_mono
TU8J2_17	3665629	3666507	3666507	+	True	RpoD_mono
TU8J2_938	1050031	1050234	1050234	-	True	RpoD_mono
TU8J2_363	3805090	3806055	3806055	-	True	RpoD_mono
TU8J2_1011	854412	855077	855077	+	True	RpoD_mono
TU8J2_1386	1207818	1208057	1208057	-	True	RpoD_mono
TU8J2_692	2478006	2478929	2478929	-	True	RpoD_mono
TU8J2_468	3328762	3334990	3334990	+	True	RpoD_mono
TU8J2_2948	1272725	1276291	1276291	+	True	RpoD_mono
TU8J2_1244	2433631	2434346	2434346	-	True	RpoD_mono
TU8J2_799	1919861	1921864	1921864	+	True	RpoD_mono
TU8J2_590	2930827	2931573	2931573	-	True	RpoD_mono
TU8J2_1473	2433137	2433373	2433373	+	True	RpoD_mono
TU8J2_1349	712019	713293	713293	+	True	RpoD_mono
